Altium Designer Pick and Place Locations
C:\Users\javit\IMDEA\OpenVLC\OpenVLC_repo\OpenVLC\Latest_Version\Hardware\Design_files\Pick Place for PCB_Design.csv

========================================================================================================================
File Design Information:

Date:       02/12/22
Time:       16:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description","ComponentKind","Height(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"R4_21","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","1099.076","1724.505","180","Resistor","Standard","51.181","1099.076","1724.505","1126.635","1724.505"
"R10","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","907.439","473.794","90","Resistor","Standard","51.181","907.439","473.794","907.439","446.235"
"R3","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","252.547","1736.486","270","Resistor","Standard","51.181","252.548","1736.486","252.547","1764.045"
"R2","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","186.379","1736.486","90","Resistor","Standard","51.181","186.380","1736.486","186.379","1708.927"
"R5","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","1156.230","348.813","180","Resistor","Standard","51.181","1156.230","348.813","1183.789","348.813"
"R6","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","1246.461","314.308","90","Resistor","Standard","51.181","1246.462","314.308","1246.461","286.749"
"R7","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","1034.117","585.568","90","Resistor","Standard","51.181","1034.118","585.568","1034.117","558.009"
"R8","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","1106.519","586.172","270","Resistor","Standard","51.181","1106.519","586.172","1106.519","613.731"
"R9","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","844.269","473.794","270","Resistor","Standard","51.181","844.270","473.794","844.269","501.353"
"R11","Res1","TopLayer","1608[0603]","Chip Capacitor, Body 1.6x0.8mm, IPC High Density","837.704","380.217","360","Resistor","Standard","51.181","837.705","380.217","810.145","380.217"
"R4_12","Res3","TopLayer","C1206","Chip Capacitor, Body 3.2x1.6mm, IPC High Density","1434.128","1544.045","180","Resistor","Standard","51.181","1434.128","1544.045","1487.277","1544.045"
"R4_11","Res3","TopLayer","14-1210","Chip Resistor, Body 3.2x2.5mm, IPC High Density","1108.097","1540.309","180","Resistor","Standard","35.433","1108.098","1540.309","1161.247","1540.309"
